CUSTOMER_NO;customer_name;CUSTOMER_SITE_NO;customer_site_name;site_address;CUSTOMER_WORKSITE_NO;CONTRACT_NO;CONTRACT;SERVICE_LINE_FIN;SERVICE_LINE_ENG;WO_NO;WO_PARENT_ID;WORK_ORDER_TYPE;WORK_ORDER_TYPE_ENG;ASSIGNMENT_TYPE;ASSIGNMENT_TYPE_ENG;PRIORITY_ID;WORK_DESCRIPTION;WORK_ORDER_DESCRIPTION;WORK_ORDER_PERFORMED_ACTION;WORK_TYPE_DESCRIPTION_FIN;WORK_TYPE_DESCRIPTION_ENG;PM_NO;PM_ACTION_DESCR;WORK_STARTED_DATETIME;WORK_FINISHED_DATETIME;WORK_FINISHED_DAYS;SLA_REQUIRED_START_DATETIME;SLA_REQUIRED_END_DATETIME;IS_SLA_VIOLATION;WORKTIME_HOURS;WORK_INVOICABLE;IS_SUBCONTRACTOR_WORK
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;45675479;4396685;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, [NAME], kevät;Määräaikaishuollot, [NAME], kevät;Huollot tehty;Määräaikaishuollot kiinteistön käyttö ja ylläpito;Periodic maintenance property operation and maintenance;;;7.4.2021 6:59;17.5.2021 6:46;;1.5.2021 0:00;;0;60.43;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;46341707;4520732;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät;Määräaikaishuollot, IV, kevät_Honkala;Iv-koneiden huoltotyöt. ;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;2.8.2021 8:57;4.8.2021 8:21;;1.5.2021 0:00;;1;13.25;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;46291367;4520732;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät;Määräaikaishuollot, IV, kevät;Iv-huollon sopimukseen kuulumattomat tarvikkeet Kohde: Lentokentänkatu 11 Viite: [EMAIL] Tilatltu työ: Määräaikaishuollot, IV, kevät Tehty työ: Iv-koneiden huolto työt;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;22.7.2021 12:02;4.8.2021 8:51;;1.5.2021 0:00;;1;28.33;TOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;45988516;4520732;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät;Määräaikaishuollot, IV, kevät;;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;31.5.2021 12:31;6.7.2021 10:48;;1.5.2021 0:00;;1;6.85;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;46447272;4656265;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;[NAME]  kiinteistön huolto ja kunnossapitotyöt;Määräaikaishuollot, SÄ_Sandholm;Paloilmoittimen huoltotilaan laittaminen.Työ valmis.;Määräaikaishuollot sähkö;Periodic maintenance electrical;;;20.8.2021 8:31;20.8.2021 10:25;0.08.00;2.8.2021 0:00;;1;1.88;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;46844524;4727342;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;[NAME]  kiinteistön huolto ja kunnossapitotyöt;Määräaikaishuollot, SÄ;Määräaikaishuollot, SÄ [NAME]: [NAME];Määräaikaishuollot sähkö;Periodic maintenance electrical;;;27.10.2021 10:01;29.10.2021 15:29;2.23.00;25.10.2021 0:00;;1;18.25;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;47053955;4793829;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;[NAME]  kiinteistön huolto ja kunnossapitotyöt;Laitosmies tuuraus;Laitosmies tuuraus [NAME]: [NAME];Määräaikaishuollot sähkö;Periodic maintenance electrical;;;1.12.2021 7:54;10.1.2022 11:30;;22.11.2021 0:00;;1;92.02;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;47090727;4900272;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Sprinklerijärjestelmän huolto;Määräaikaishuollot, SPR;Määräaikaishuollot, SPR [NAME]: [NAME];Määräaikaishuollot sprinklerit ja muut automaattisammutuskalustot;Periodic maintenance sprinklers and other automatic fire extinguishing equipment;;;7.12.2021 11:44;27.12.2021 11:32;;18.11.2021 0:00;;1;11.37;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;48276735;4932633;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät;Määräaikaishuollot, IV, kevät;;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;13.6.2022 9:00;29.8.2022 15:45;;31.1.2022 0:00;;1;33.98;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;48276736;4932633;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät;Määräaikaishuollot, IV, kevät;Tilattu työ: Määräaikaishuollot, IV, kevät Tehty työ: IV-koneiden huoltotyöt.;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;13.6.2022 9:00;19.7.2022 13:37;;31.1.2022 0:00;;1;36.93;TOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;48794280;4932636;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Pikapalopostien vuosihuolto;Määräaikaishuollot, PTU;Määräaikaishuollot, PTU [NAME]: [NAME];Määräaikaishuollot paloturva;Periodic maintenance fire safety;;;30.8.2022 10:13;31.8.2022 13:14;1.13.00;31.1.2022 0:00;;1;2.05;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;47993534;4985439;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät tavoitetunnit 61,8;Määräaikaishuollot, IV, kevät;Määräaikaishuollot, IV, kevät [NAME]: [NAME], IV, kevät tavoitetunnit 61,8 Tehty työ: 6.5.2022 IV-huolto tehty, työ valmis  Asiakkaan järjestelmä: FIMX POIKKEUS;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;28.4.2022 9:03;6.5.2022 8:59;8.00.00;28.2.2022 0:00;;1;48.27;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;47445922;4985778;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, AU;Määräaikaishuollot, AU;Määräaikaishuollot, AU [NAME]: [NAME], AU Tehty työ: tyhjä Asiakkaan järjestelmä: FIMX POIKKEUS ;Määräaikaishuollot automaatio;Periodic maintenance building automation;;;4.2.2022 7:02;8.2.2022 9:42;4.11.00;28.2.2022 0:00;;0;12.97;TOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;47261604;4990336;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, syksy;Määräaikaishuollot, IV, syksy;Määräaikaishuollot, IV, syksy [NAME]: [NAME], IV, syksy Tehty työ: Iv-koneiden huoltotyöt.  Asiakkaan järjestelmä: FIMX;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;4.1.2022 8:43;24.1.2022 15:24;20.28.00;1.8.2021 0:00;;1;78.40;TOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;48333561;5175367;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Savunpoistojärjestelmä ja alkusammutuskalusto;Savunpoistojärjestelmä ja alkusammutuskalusto;Savunpoistojärjestelmä ja alkusammutuskalusto [NAME]: [NAME];Määräaikaishuollot paloturva;Periodic maintenance fire safety;;;22.6.2022 6:59;23.6.2022 15:31;1.36.00;30.5.2022 0:00;;1;8.05;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;48333562;5175367;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Savunpoistojärjestelmä ja alkusammutuskalusto;Savunpoistojärjestelmä ja alkusammutuskalusto;Savunpoistojärjestelmä ja alkusammutuskalusto [NAME]: [NAME], sekä alkusammutuskaluston tarkastus.  Asiakkaan järjestelmä: FIMX POIKKEUS ;Määräaikaishuollot paloturva;Periodic maintenance fire safety;;;22.6.2022 6:58;23.6.2022 15:27;1.35.00;30.5.2022 0:00;;1;16.02;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49264227;5175397;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Turvavalaistusjärjestelmän vuosihuolto;Turvavalaistusjärjestelmän vuosihuolto;;Määräaikaishuollot paloilmoittimet;Periodic maintenance fire alarm systems;;;7.11.2022 9:31;7.11.2022 9:31;0.00.00;30.5.2022 0:00;;1;;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49263524;5175397;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Turvavalaistusjärjestelmän vuosihuolto;Turvavalaistusjärjestelmän vuosihuolto;Turvavalaistusjärjestelmän vuosihuolto [NAME]: [NAME];Määräaikaishuollot paloilmoittimet;Periodic maintenance fire alarm systems;;;4.11.2022 6:59;4.11.2022 11:38;0.19.00;30.5.2022 0:00;;1;4.07;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49264148;5175398;Tilaustyö;On-demand work;;;5;Paloilmoitinjärjestelmän vuosihuolto;Paloilmoitinjärjestelmän vuosihuolto;;Määräaikaishuollot paloilmoittimet;Periodic maintenance fire alarm systems;;;24.11.2023 12:09;24.11.2023 12:09;0.00.00;30.5.2022 0:00;;1;;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49263513;5175398;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Paloilmoitinjärjestelmän vuosihuolto;Paloilmoitinjärjestelmän vuosihuolto;Paloilmoitinjärjestelmän vuosihuolto [NAME]: [NAME];Määräaikaishuollot paloilmoittimet;Periodic maintenance fire alarm systems;;;1.11.2022 7:36;4.11.2022 12:31;3.20.00;30.5.2022 0:00;;1;8.32;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49264145;5175398;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Suodattimien uusiminen;Paloilmoitinjärjestelmän vuosihuolto;Kohde: [NAME] työ: Näytteenottoksekuksien suodattimien uusiminen Tehty työ: 16.11.2022 Näytteenottojärjestelmän vuosihuollon puute. Suodattimet noudettu ja  vaihdettu.  Asiakkaan järjestelmä: FIMX ;Määräaikaishuollot paloilmoittimet;Periodic maintenance fire alarm systems;;;1.11.2022 9:58;16.11.2022 12:53;15.12.00;30.5.2022 0:00;;1;8.63;TOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49738016;5368819;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, LV;Määräaikaishuollot, LV;Määräaikaishuollot, LV [NAME]: [NAME], LV Tehty työ: [NAME] venttiilitehtqan lämmönjako. Huomiona käyttöveden levylämmön siirrin vuotaa ulospäin. Asiakkaan järjestelmä: FIMX;Määräaikaishuollot lämpö ja vesi;Periodic maintenance heating and water systems;;;29.12.2022 12:25;30.12.2022 15:30;1.13.00;29.8.2022 0:00;;1;11.10;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49717308;5368819;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, LV;Määräaikaishuollot, LV;Määräaikaishuollot, LV [NAME]: [NAME], LV Tehty työ: Atk-tilan sisäyksikön siirtotyöhön liittyvä käynti asiakkaan luona. Asiakkaan järjestelmä: FIMX;Määräaikaishuollot lämpö ja vesi;Periodic maintenance heating and water systems;;;27.12.2022 13:33;9.1.2023 8:27;;29.8.2022 0:00;;1;1.97;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;49635915;5368819;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, LV;Määräaikaishuollot, LV;Tilattu työ: Määräaikaishuollot, LV Tehty työ:  [NAME] lämmönjakokeskus. 21.12.2022. Huollettu A rapun mitsubishi forklift vieressä oleva lämmönjakokeskus. Typetetty paisunta-astiat. 27.12.2022. 28.12.2022 [NAME] lämmönjakokeskus L1.;Määräaikaishuollot lämpö ja vesi;Periodic maintenance heating and water systems;;;21.12.2022 10:31;28.12.2022 15:27;7.21.00;29.8.2022 0:00;;1;18.22;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;49817806;5645849;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, 2023 Tammikuu;Määräaikaishuollot, IV, 2023 Tammikuu;Määräaikaishuollot, IV, 2023 [NAME]: [NAME], IV, 2023 [NAME] työ: Iv-koneiden huolto työt  Asiakkaan järjestelmä: FIMX;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;9.1.2023 9:57;17.1.2023 14:56;8.21.00;30.1.2023 0:00;;0;3.40;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;49780548;5645849;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, 2023 Tammikuu;Määräaikaishuollot, IV, 2023 Tammikuu;Määräaikaishuollot, IV, 2023 [NAME] työ: Määräaikaishuollot, IV, 2023 [NAME] työ: Iv-koneiden huoltotyöt.;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;3.1.2023 11:15;17.1.2023 14:57;14.15.00;30.1.2023 0:00;;0;21.30;EPÄTOSI;EPÄTOSI
100000413;Valmet Technologies Oy;998389833;Lentokentänkatu 11;Lentokentänkatu 11 33900 Tampere FINLAND;10108694;3108277;KT;Kiinteistötekniikka;Technical services;49985206;5645920;Tilaustyö;On-demand work;;;5;Hissihuolto (OTIS) 6-12 lasku;Määräaikaishuollot, SÄ;;Määräaikaishuollot sähkö;Periodic maintenance electrical;;;31.7.2023 10:09;31.7.2023 10:09;0.00.00;30.1.2023 0:00;;1;;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;50920123;5646063;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;[NAME]  KP 5190 laskuttaa KP 5106;Määräaikaishuollot, SÄ;Aico 31708 / Milla L 3.8. KP 5190 laskuttaa KP 5103. [NAME]: [NAME], Määräaikaishuollot, SÄ 2023 Tehty työ: Sähkövuosihuollot 2023. [NAME].;Määräaikaishuollot sähkö;Periodic maintenance electrical;;;28.6.2023 11:38;19.7.2023 15:07;21.15.00;30.1.2023 0:00;;1;54.78;EPÄTOSI;TOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;50441107;5689463;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, [NAME], kevät;Määräaikaishuollot, [NAME], kevät;Määräaikaishuollot, [NAME], kevät [NAME]: [NAME], [NAME], kevät Tehty työ: 18.4.2023 [NAME] 229 Venttiilitehdas jäähdytyshuolto kevät 2023. 19.4.2023 jatkuu. 20.4.2023 jatkuu. 21.4.2023 jatkuu. 2.5.2023 jatkuu 5.5.2023 jatkuu Asiakkaan järjestelmä: FIMX;Määräaikaishuollot kiinteistön käyttö ja ylläpito;Periodic maintenance property operation and maintenance;;;18.4.2023 9:04;16.5.2023 13:00;;27.2.2023 0:00;;1;41.83;EPÄTOSI;EPÄTOSI
